,names,cluster
0,434512.2.lsa,2
1,319623.2.lsa,1
2,265934.2.lsa,2
3,314082.2.lsa,2
4,425671.2.lsa,2
5,268219.2.lsa,1
6,364871.2.lsa,2
7,460808.2.lsa,2
8,301598.2.lsa,2
9,459001.2.lsa,2
10,320413.2.lsa,1
11,493932.2.lsa,2
12,332012.2.lsa,0
13,388744.2.lsa,1
14,344321.2.lsa,2
15,476343.2.lsa,2
16,270314.2.lsa,0
17,456869.2.lsa,2
18,305314.2.lsa,2
19,286263.2.lsa,2
20,367620.2.lsa,2
21,292727.2.lsa,1
22,288949.2.lsa,2
23,321438.2.lsa,2
24,387633.2.lsa,1
25,343071.2.lsa,2
26,382087.2.lsa,1
27,473214.2.lsa,0
28,348401.2.lsa,1
29,452544.2.lsa,2
30,294383.2.lsa,2
31,415905.2.lsa,2
32,384706.2.lsa,2
33,455078.2.lsa,0
34,310875.2.lsa,2
35,349545.2.lsa,0
36,316744.2.lsa,2
37,290613.2.lsa,0
38,424250.2.lsa,2
39,408833.2.lsa,2
40,421257.2.lsa,0
41,432520.2.lsa,1
42,298699.2.lsa,1
43,447385.2.lsa,1
44,441872.2.lsa,2
45,271102.2.lsa,1
46,331876.2.lsa,2
47,459880.2.lsa,2
48,301912.2.lsa,1
49,410189.2.lsa,1
50,316822.2.lsa,2
51,406549.2.lsa,2
52,368127.2.lsa,2
53,353590.2.lsa,0
54,391286.2.lsa,2
55,471976.2.lsa,1
56,437247.2.lsa,2
57,415434.2.lsa,1
58,347501.2.lsa,0
59,466846.2.lsa,2
60,296534.2.lsa,2
61,322605.2.lsa,2
62,456608.2.lsa,0
63,464141.2.lsa,1
64,266643.2.lsa,1
65,438901.2.lsa,2
66,455741.2.lsa,0
67,322331.2.lsa,2
68,305651.2.lsa,2
69,412227.2.lsa,2
70,381805.2.lsa,2
71,456226.2.lsa,2
72,293228.2.lsa,2
73,454034.2.lsa,2
74,320112.2.lsa,1
75,310488.2.lsa,2
76,368090.2.lsa,2
77,426386.2.lsa,2
78,346680.2.lsa,2
79,348110.2.lsa,1
80,346599.2.lsa,2
81,274309.2.lsa,2
82,410963.2.lsa,2
83,430378.2.lsa,2
84,310974.2.lsa,2
85,365684.2.lsa,0
86,415493.2.lsa,2
87,418846.2.lsa,2
88,421183.2.lsa,1
89,388880.2.lsa,2
90,261147.2.lsa,2
91,465963.2.lsa,2
92,323560.2.lsa,2
93,492273.2.lsa,0
94,417078.2.lsa,2
95,404245.2.lsa,2
96,306769.2.lsa,0
97,309324.2.lsa,1
98,475771.2.lsa,2
99,455987.2.lsa,1
100,301561.2.lsa,0
101,308732.2.lsa,2
102,313864.2.lsa,2
103,419861.2.lsa,1
104,453374.2.lsa,2
105,411656.2.lsa,1
106,348146.2.lsa,2
107,301777.2.lsa,0
108,301095.2.lsa,2
109,447669.2.lsa,2
110,321732.2.lsa,2
111,476627.2.lsa,2
112,409148.2.lsa,2
113,339641.2.lsa,0
114,500692.2.lsa,2
115,408751.2.lsa,2
116,284809.2.lsa,2
117,352054.2.lsa,1
118,483709.2.lsa,2
119,293901.2.lsa,2
120,475974.2.lsa,1
121,289158.2.lsa,1
122,309288.2.lsa,1
123,362098.2.lsa,2
124,322414.2.lsa,1
125,366632.2.lsa,1
126,344686.2.lsa,0
127,473705.2.lsa,2
128,266697.2.lsa,0
129,322431.2.lsa,2
130,317441.2.lsa,0
131,389104.2.lsa,2
132,444562.2.lsa,2
133,436246.2.lsa,0
134,307115.2.lsa,1
135,294253.2.lsa,1
136,412982.2.lsa,2
137,465578.2.lsa,1
138,287564.2.lsa,0
139,449345.2.lsa,2
140,392155.2.lsa,0
141,290422.2.lsa,2
142,447652.2.lsa,2
143,306994.2.lsa,2
144,345022.2.lsa,2
145,305097.2.lsa,1
146,450013.2.lsa,2
147,388897.2.lsa,1
148,476963.2.lsa,2
149,266949.2.lsa,1
150,390924.2.lsa,2
151,411401.2.lsa,0
152,447825.2.lsa,2
153,341210.2.lsa,1
154,326375.2.lsa,1
155,449185.2.lsa,2
156,317156.2.lsa,0
157,301116.2.lsa,1
158,264494.2.lsa,2
159,306665.2.lsa,2
160,447810.2.lsa,0
161,284230.2.lsa,2
162,476671.2.lsa,2
163,420699.2.lsa,2
164,404306.2.lsa,1
165,459557.2.lsa,0
166,468678.2.lsa,2
167,395861.2.lsa,0
168,411649.2.lsa,0
169,395853.2.lsa,2
170,382068.2.lsa,0
171,432389.2.lsa,2
172,477766.2.lsa,0
173,276830.2.lsa,2
174,288089.2.lsa,2
175,413918.2.lsa,2
176,369067.2.lsa,2
177,441886.2.lsa,2
178,361474.2.lsa,2
179,427424.2.lsa,0
180,416393.2.lsa,0
181,260788.2.lsa,2
182,300403.2.lsa,2
183,388024.2.lsa,2
184,458409.2.lsa,2
185,341951.2.lsa,0
186,284285.2.lsa,0
187,459711.2.lsa,2
188,315975.2.lsa,2
189,316353.2.lsa,0
190,326202.2.lsa,1
191,453287.2.lsa,1
192,238369.2.lsa,2
193,404308.2.lsa,2
194,292621.2.lsa,2
195,392100.2.lsa,1
196,450684.2.lsa,2
197,290123.2.lsa,0
198,297694.2.lsa,0
199,439727.2.lsa,0
200,328973.2.lsa,1
201,321650.2.lsa,2
202,370983.2.lsa,2
203,387133.2.lsa,2
204,459822.2.lsa,2
205,366992.2.lsa,2
206,450326.2.lsa,0
207,290256.2.lsa,2
208,488267.2.lsa,1
209,410461.2.lsa,2
210,413567.2.lsa,2
211,272788.2.lsa,2
212,276393.2.lsa,0
213,419044.2.lsa,0
214,476069.2.lsa,0
215,392786.2.lsa,2
216,453798.2.lsa,1
217,455756.2.lsa,0
218,390897.2.lsa,1
219,290625.2.lsa,2
220,443891.2.lsa,1
221,408564.2.lsa,2
222,303631.2.lsa,2
223,283998.2.lsa,0
224,310935.2.lsa,0
225,447988.2.lsa,2
226,288816.2.lsa,1
227,458655.2.lsa,2
228,443456.2.lsa,2
229,460734.2.lsa,2
230,420837.2.lsa,1
231,427455.2.lsa,2
232,306767.2.lsa,2
233,459056.2.lsa,1
234,433914.2.lsa,1
235,415715.2.lsa,2
236,293926.2.lsa,2
237,366246.2.lsa,2
238,416948.2.lsa,0
239,420090.2.lsa,2
240,329347.2.lsa,2
241,259527.2.lsa,2
242,394850.2.lsa,2
243,473461.2.lsa,2
244,408068.2.lsa,2
245,409901.2.lsa,2
246,329314.2.lsa,1
247,387310.2.lsa,1
248,450016.2.lsa,2
249,302469.2.lsa,2
250,238125.2.lsa,1
251,413277.2.lsa,1
252,332074.2.lsa,0
253,475504.2.lsa,2
254,310633.2.lsa,1
255,364914.2.lsa,1
256,295501.2.lsa,2
257,416062.2.lsa,1
258,475722.2.lsa,1
259,438216.2.lsa,2
260,352910.2.lsa,2
261,459768.2.lsa,2
262,300493.2.lsa,1
263,473873.2.lsa,2
264,408395.2.lsa,1
265,406925.2.lsa,2
266,415691.2.lsa,2
267,241421.2.lsa,2
268,453383.2.lsa,1
269,296875.2.lsa,1
270,452776.2.lsa,2
271,327754.2.lsa,2
272,351759.2.lsa,1
273,393488.2.lsa,1
274,445740.2.lsa,2
275,450300.2.lsa,2
276,456500.2.lsa,1
277,444539.2.lsa,1
278,392764.2.lsa,2
279,309919.2.lsa,0
280,458278.2.lsa,1
281,420263.2.lsa,2
282,295378.2.lsa,2
283,424264.2.lsa,2
284,445566.2.lsa,0
285,389683.2.lsa,2
286,457189.2.lsa,2
287,387270.2.lsa,2
288,293510.2.lsa,2
289,412005.2.lsa,1
290,284009.2.lsa,0
291,306469.2.lsa,1
292,409913.2.lsa,2
293,439575.2.lsa,2
294,322423.2.lsa,2
295,419857.2.lsa,2
296,459064.2.lsa,0
297,262845.2.lsa,2
298,496779.2.lsa,2
299,441279.2.lsa,2
300,363622.2.lsa,2
301,378996.2.lsa,2
302,450495.2.lsa,2
303,315994.2.lsa,2
304,346988.2.lsa,2
305,274279.2.lsa,0
306,311064.2.lsa,0
307,412766.2.lsa,0
308,457010.2.lsa,2
309,315181.2.lsa,2
310,302459.2.lsa,1
311,456917.2.lsa,0
312,280385.2.lsa,1
313,288821.2.lsa,2
314,471128.2.lsa,0
315,316740.2.lsa,2
316,301749.2.lsa,2
317,313728.2.lsa,2
318,311574.2.lsa,0
319,291863.2.lsa,2
320,328151.2.lsa,2
321,459944.2.lsa,2
322,461008.2.lsa,2
323,293611.2.lsa,0
324,349262.2.lsa,2
325,299341.2.lsa,2
326,247593.2.lsa,1
327,361707.2.lsa,2
328,501211.2.lsa,1
329,387745.2.lsa,2
330,473772.2.lsa,2
331,293297.2.lsa,1
332,417174.2.lsa,1
333,385347.2.lsa,2
334,374941.2.lsa,2
335,415700.2.lsa,0
336,473619.2.lsa,1
337,345832.2.lsa,2
338,393167.2.lsa,2
339,367545.2.lsa,2
340,454505.2.lsa,2
341,440049.2.lsa,2
342,475683.2.lsa,2
343,351443.2.lsa,2
344,454688.2.lsa,0
345,503379.2.lsa,2
346,343737.2.lsa,1
347,450269.2.lsa,2
348,408417.2.lsa,2
349,345417.2.lsa,0
350,322263.2.lsa,0
351,300027.2.lsa,1
352,293575.2.lsa,2
353,342381.2.lsa,2
354,390731.2.lsa,0
355,436922.2.lsa,2
356,393145.2.lsa,2
357,395916.2.lsa,2
358,300657.2.lsa,1
359,346923.2.lsa,1
360,315117.2.lsa,1
361,340533.2.lsa,1
362,395889.2.lsa,2
363,420122.2.lsa,0
364,420602.2.lsa,2
365,412669.2.lsa,2
366,436862.2.lsa,0
367,371944.2.lsa,2
368,438000.2.lsa,0
369,297699.2.lsa,2
370,345043.2.lsa,1
371,444334.2.lsa,1
372,415490.2.lsa,1
373,392886.2.lsa,2
374,459254.2.lsa,0
375,412456.2.lsa,0
376,428657.2.lsa,2
377,275904.2.lsa,2
378,409604.2.lsa,2
379,452303.2.lsa,1
380,441163.2.lsa,1
381,289399.2.lsa,2
382,409757.2.lsa,2
383,309653.2.lsa,1
384,444228.2.lsa,2
385,320171.2.lsa,2
386,419646.2.lsa,2
387,326576.2.lsa,2
388,409628.2.lsa,0
389,309798.2.lsa,2
390,260513.2.lsa,0
391,245060.2.lsa,2
392,473417.2.lsa,1
393,436917.2.lsa,0
394,420056.2.lsa,2
395,382890.2.lsa,2
396,387784.2.lsa,1
397,418492.2.lsa,0
398,456899.2.lsa,0
399,342773.2.lsa,2
400,264035.2.lsa,2
401,455192.2.lsa,1
402,349070.2.lsa,2
403,464254.2.lsa,0
404,439610.2.lsa,1
405,414228.2.lsa,0
406,382176.2.lsa,2
407,494975.2.lsa,2
408,262965.2.lsa,2
409,418817.2.lsa,2
410,351917.2.lsa,2
411,436599.2.lsa,2
412,310881.2.lsa,1
413,296053.2.lsa,2
414,414753.2.lsa,1
415,300707.2.lsa,2
416,423835.2.lsa,2
417,461021.2.lsa,2
418,329899.2.lsa,2
419,295405.2.lsa,1
420,392821.2.lsa,2
421,460686.2.lsa,2
422,284638.2.lsa,2
423,411794.2.lsa,2
424,436604.2.lsa,1
425,283874.2.lsa,2
426,308282.2.lsa,2
427,299894.2.lsa,1
428,391200.2.lsa,2
429,287962.2.lsa,1
430,301621.2.lsa,0
